Subject;Area;Word_ID;Accuracy;Type;Word_ID_num;resp_resp
7;cz;tavolo;1;Studied_word;89;1
7;cz;tiepido;1;Studied_word;91;1
7;cz;valzer;1;Studied_word;94;1
7;cz;veloce;1;Studied_word;96;1
7;cz;bello;1;Unrelated;11;0
7;cz;caramella;1;Unrelated;17;0
7;cz;crosata;1;Unrelated;21;0
7;cz;dolce;1;Unrelated;25;0
7;cz;dolere;1;Unrelated;26;0
7;cz;donna;1;Unrelated;28;0
7;cz;forza;1;Unrelated;34;0
7;cz;furioso;0;Unrelated;38;1
7;cz;ira;1;Unrelated;47;0
7;cz;malcontento;1;Unrelated;54;0
7;cz;piede;1;Unrelated;67;0
7;cz;rabbia;0;Unrelated;77;1
7;cz;ritmo;0;Unrelated;81;1
7;cz;sapore;0;Unrelated;83;1
7;cz;scarpa;1;Unrelated;84;0
7;cz;uomo;1;Unrelated;93;0
8;cedx;alto;1;Critical_lure;3;0
8;cedx;freddo;1;Critical_lure;35;0
8;cedx;fumo;1;Critical_lure;36;0
8;cedx;giustizia;0;Critical_lure;42;1
8;cedx;lampada;0;Critical_lure;51;1
8;cedx;lento;0;Critical_lure;52;1
8;cedx;penna;0;Critical_lure;64;1
8;cedx;sedia;0;Critical_lure;87;1
8;cedx;basso;1;Studied_word;10;1
8;cedx;calmo;1;Studied_word;14;1
8;cedx;calore;1;Studied_word;15;1
8;cedx;desiderio;1;Studied_word;22;1
8;cedx;equita';1;Studied_word;29;1
8;cedx;ghiaccio;1;Studied_word;39;1
8;cedx;gigante;1;Studied_word;40;1
8;cedx;grattacielo;1;Studied_word;44;1
8;cedx;inchiostro;1;Studied_word;45;1
8;cedx;inquinamento;1;Studied_word;46;1
8;cedx;luce;1;Studied_word;53;1
8;cedx;pioggia;1;Studied_word;68;1
8;cedx;pipa;1;Studied_word;69;1
8;cedx;piuma;1;Studied_word;70;1
8;cedx;polizia;1;Studied_word;72;1
8;cedx;polmoni;1;Studied_word;73;1
8;cedx;poltrona;1;Studied_word;74;1
8;cedx;privata;1;Studied_word;76;1
8;cedx;scomoda;1;Studied_word;85;1
8;cedx;scuola;1;Studied_word;86;1
8;cedx;tavolo;1;Studied_word;89;1
8;cedx;tiepido;1;Studied_word;91;1
8;cedx;valzer;1;Studied_word;94;1
8;cedx;veloce;1;Studied_word;96;1
8;cedx;bello;1;Unrelated;11;0
8;cedx;caramella;1;Unrelated;17;0
8;cedx;crosata;1;Unrelated;21;0
8;cedx;dolce;0;Unrelated;25;1
8;cedx;dolere;1;Unrelated;26;0
8;cedx;donna;1;Unrelated;28;0
8;cedx;forza;1;Unrelated;34;0
8;cedx;furioso;1;Unrelated;38;0
8;cedx;ira;1;Unrelated;47;0
8;cedx;malcontento;1;Unrelated;54;0
